date,value
20210101T063500Z,0.408450704225352
20210101T103500Z,0.189189189189189
20210101T120500Z,0.570422535211267
20210101T132000Z,0.333333333333333
20210101T142000Z,0.204301075268817
20210101T135000Z,0.231308411214953
20210101T143500Z,0.36986301369863
20210101T154000Z,0.33
20210101T151500Z,0.187279151943462
20210101T172500Z,0.269841269841269
20210101T180000Z,0.144444444444444
20210101T181500Z,0.0666666666666666
20210101T174000Z,0.377777777777777
20210101T193000Z,0.216
20210101T200000Z,0.225
20210101T205000Z,0.222222222222222
20210101T232000Z,0.266666666666666
20210102T061500Z,0.762237762237762
20210102T062000Z,0.81159420289855
20210102T062000Z,0.322222222222222
20210102T080500Z,0.0742049469964664
20210102T081000Z,0.127777777777777
20210102T081500Z,0.466666666666666
20210102T084500Z,0.155555555555555
20210102T083500Z,0.206349206349206
20210102T091000Z,0.392473118279569
20210102T093500Z,0.456521739130434
20210102T095000Z,0.205555555555555
20210102T103500Z,0.195652173913043
20210102T105500Z,0.142857142857142
20210102T110000Z,0.486772486772486
20210102T111500Z,0.459459459459459
20210102T113000Z,0.155555555555555
20210102T122500Z,0.456989247311827
20210102T122000Z,0.316091954022988
20210102T115500Z,0.473333333333333
20210102T123000Z,0.0888888888888888
20210102T130500Z,0.388888888888888
20210102T130000Z,0.770491803278688
20210102T134000Z,0.355555555555555
20210102T135000Z,0.329439252336448
20210102T153000Z,0.260273972602739
20210102T153500Z,0.438888888888888
20210102T160000Z,0.711111111111111
20210102T161500Z,0.652173913043478
20210102T145500Z,0.3
20210102T153000Z,0.162544169611307
20210102T151500Z,0.114285714285714
20210102T170000Z,0.534391534391534
20210102T182000Z,0.324324324324324
20210102T185000Z,0.522727272727272
20210102T185500Z,0.227513227513227
20210102T204000Z,0.233333333333333
20210102T194500Z,0.241379310344827
20210102T204000Z,0.0
20210102T222000Z,0.375661375661375
20210103T064000Z,0.734265734265734
20210103T070000Z,0.569892473118279
20210103T075000Z,0.244444444444444
20210103T073500Z,0.205555555555555
20210103T081000Z,0.144444444444444
20210103T092500Z,0.0944444444444444
20210103T092000Z,0.0333333333333333
20210103T094000Z,0.301075268817204
20210103T090500Z,0.21
20210103T100500Z,0.17391304347826
20210103T111500Z,0.439153439153439
20210103T120000Z,0.525581395348837
20210103T105000Z,0.244444444444444
20210103T115000Z,0.171428571428571
20210103T123000Z,0.597883597883597
20210103T121000Z,0.46
20210103T115500Z,0.825174825174825
20210103T132000Z,0.608695652173913
20210103T135000Z,0.317204301075268
20210103T135000Z,0.411111111111111
